id,game_score,role_title,role_description,role_alignment,role_type_id
1,1,Villager,You are a regular villager,Town,Villager
2,-7,Werewolf,Wake with your team every night and choose a villager to eat. You win when there are the same number of werewolves and villagers (parity).,Evil,Wolf
3,-10,Werewolf Roleblocker,"You are a werewolf. Additionally, wake at night and choose another player. If they have a power, they won't be able to use it.",Evil,Wolf
4,-12,Werewolf Corrupter,"You are a werewolf. Additionally, wake at night and choose another player. If they have a power, their power will do the opposite of what it's supposed to.",Evil,Wolf
5,-9,Werewolf Medic,"You are a werewolf. Each night choose another player, they can't die at night.",Evil,Wolf
6,-10,Wigilante,You are a werewolf. Every night point at someone and they have a wig on them. They look like a werewolf to the seer.,Evil,Wolf
7,-9,Werewolf Prophet,"You are a werewolf. Every night, ask the mod if a role is in the game, if they are, get the result of what that role did that night",Evil,Wolf
8,-9,Werewolf Medium,"Every night, choose a dead player. If they had a power, you may use it tonight.",Evil,Wolf
9,-12,Werewolf with a shotgun,Once per game you may use your shotgun to kill an additional player,Evil,Wolf
10,-7,Werewolf Pointer,"Every night, point at another player. Nothing happens.",Evil,Wolf
11,-9,Werewolf Seer,"Every night, point at another player and be told if they are the village seer or not.",Evil,Wolf
12,-9,Werewolf Scribe,You are a werewolf. Every night you may send a message to another player. You may sign your name or remain anonymous.,Evil,Wolf
13,-10,Werewolf Client,You are a werewolf. There is a Private _____ on the town team. You get to choose who their target is every night.,Evil,Wolf
14,-10,Sith Wolf,"Once per game, If your wolf partner dies before you do AND it would not put the game at parity the following day, choose another player to become your new wolf partner.",Evil,Wolf
15,-7,Alpha Werewolf,"You are the head werewolf. For the purposes of bus driver-esque roles, you control the vote on who wolves kill.",Evil,Wolf
16,-11,Shaved Werewolf,"You are a werewolf, you look a villager to the seer.",Evil,Wolf
17,-8,Sleepy Werewolf,"You are a werewolf. Your wolf partners are _______. You will not be a part of their chat, and you do not wake up at night. If both your partners die, you gain the power to kill.",Evil,Wolf
18,-8,Werewolf Sponsor,"There is a drunk in this game. During the ___ night, they will become a ___.",Evil,Wolf
19,-12,Werewolf Hunter,"You are a werewolf. When you die, you get a free kill.",Evil,Wolf
20,-9,Werewolf Gravekeeper,"You are a werewolf. When all gravekeepers are dead, roles will no longer be revealed on death (your role will be revealed to the town, but you will be the last one).",Evil,Wolf
21,-6,Werewolf Idiot,You are a werewolf. You must vote down on all votes.,Evil,Wolf
22,-6,Werewolf Pacifist,always vote up,Evil,Wolf
23,-5,Guilty Werewolf,You are a werewolf. You win the game only if your wolf teammates win AND you are dead.,Evil,Wolf
24,-5,Lone Werewolf,"You are a werewolf, but you only win if you are the LAST werewolf remaining. That means you will need to get your werewolf teammates killed at some point.",Evil,Wolf
25,-5,Werewolf Inspiration,"If the village kills you in any way, the remaining werewolves lose their kill the next night",Evil,Wolf
